subject,female,numbersafe,soep,easy,treatment,safe,inconsistent,incsafechoices
191037,1,9,4,3,2,1,0,NA
50950,0,6,6,0,1,0,0,NA
120849,0,5,5,2,2,1,0,NA
310859,1,0,7,1,1,0,0,NA
290859,1,8,2,5,1,0,0,NA
311037,0,6,3,0,2,1,0,NA
290950,0,8,5,0,1,0,0,NA
130735,0,6,7,0,2,1,0,NA
211202,0,6,5,1,1,0,0,NA
160957,1,7,9,0,2,1,0,NA
221018,0,4,3,2,1,0,0,NA
180859,1,8,2,1,1,0,0,NA
111204,0,4,7,2,1,0,0,NA
171204,0,4,2,5,1,0,0,NA
140949,1,6,6,2,2,1,0,NA
71456,1,8,4,5,1,0,0,NA
191018,1,9,4,4,1,0,0,NA
181456,1,7,6,4,1,0,0,NA
41108,1,3,7,3,1,0,0,NA
40950,0,6,6,1,1,0,0,NA
220949,1,5,7,1,2,1,0,NA
11018,1,8,3,0,1,0,0,NA
230849,0,6,9,0,2,1,0,NA
141149,0,6,3,1,2,1,0,NA
41202,0,6,9,0,1,0,0,NA
270859,1,7,2,1,1,0,0,NA
41149,1,6,4,2,2,1,0,NA
60849,1,6,6,0,2,1,0,NA
10849,0,3,7,0,2,1,0,NA
90957,1,7,6,6,2,1,0,NA
80949,1,6,6,2,2,1,0,NA
211037,0,5,5,1,2,1,0,NA
60735,0,6,6,0,2,1,0,NA
281108,0,6,4,2,1,0,0,NA
30950,0,4,3,2,1,0,0,NA
141456,0,4,7,4,1,0,0,NA
131203,0,7,3,0,1,0,0,NA
251149,0,4,7,1,2,1,0,NA
151149,1,7,3,1,2,1,0,NA
221149,1,6,1,7,2,1,0,NA
200949,0,6,3,6,2,1,0,NA
181018,1,6,9,3,1,0,0,NA
321204,0,4,7,0,1,0,0,NA
250859,0,8,1,0,1,0,0,NA
261149,0,4,7,0,2,1,0,NA
161037,1,7,3,3,2,1,0,NA
140859,1,7,2,3,1,0,0,NA
191456,0,8,7,4,1,0,0,NA
310950,1,8,1,0,1,0,0,NA
150737,0,6,1,0,2,1,0,NA
271149,0,5,6,1,2,1,0,NA
30735,0,6,3,0,2,1,0,NA
250950,1,4,6,0,1,0,0,NA
170949,1,9,1,1,2,1,0,NA
211456,1,7,5,5,1,0,0,NA
111149,1,6,5,0,2,1,0,NA
260859,1,6,4,0,1,0,0,NA
81149,1,6,6,2,2,1,0,NA
210735,1,6,4,0,2,1,0,NA
270957,1,8,6,1,2,1,0,NA
50859,0,6,3,0,1,0,0,NA
210949,1,6,3,0,2,1,0,NA
321037,0,5,5,0,2,1,0,NA
130957,1,7,6,3,2,1,0,NA
300957,0,6,1,1,2,1,0,NA
241203,0,4,5,1,1,0,0,NA
90737,1,7,4,1,2,1,0,NA
100949,0,6,3,1,2,1,0,NA
150949,0,5,5,1,2,1,0,NA
10859,0,6,6,1,1,0,0,NA
40957,1,2,6,0,2,1,0,NA
291108,0,7,1,2,1,0,0,NA
91149,1,4,4,6,2,1,0,NA
70859,0,6,7,0,1,0,0,NA
251203,0,0,5,2,1,0,0,NA
91108,1,6,2,3,1,0,0,NA
220950,1,9,1,0,1,0,0,NA
220957,0,3,9,3,2,1,0,NA
60859,0,3,5,3,1,0,0,NA
91456,0,7,3,1,1,0,0,NA
50738,1,7,6,3,2,1,0,NA
61037,1,6,1,2,2,1,0,NA
200849,0,3,6,2,2,1,0,NA
210950,0,6,6,0,1,0,0,NA
241149,0,6,7,0,2,1,0,NA
150859,1,6,5,0,1,0,0,NA
51108,0,7,7,5,1,0,0,NA
11108,1,6,4,6,1,0,0,NA
200859,1,7,2,6,1,0,0,NA
120957,0,8,4,0,2,1,0,NA
20957,1,6,2,0,2,1,0,NA
91204,1,7,2,1,1,0,0,NA
60950,1,6,3,1,1,0,0,NA
221203,1,6,6,0,1,0,0,NA
20849,0,5,1,0,2,1,0,NA
241456,0,6,8,0,1,0,0,NA
110957,1,6,3,2,2,1,0,NA
30949,1,6,8,2,2,1,0,NA
250849,1,7,3,7,2,1,0,NA
270949,1,5,3,6,2,1,0,NA
10957,1,9,5,5,2,1,0,NA
180949,0,6,4,1,2,1,0,NA
300950,1,4,7,1,1,0,0,NA
21204,0,7,4,1,1,0,0,NA
301456,0,7,3,1,1,0,0,NA
101202,1,5,6,0,1,0,0,NA
181037,1,9,2,0,2,1,0,NA
201149,0,4,9,3,2,1,0,NA
311203,0,6,6,1,1,0,0,NA
280957,1,7,2,1,2,1,0,NA
130949,1,6,3,1,2,1,0,NA
90859,1,6,2,1,1,0,0,NA
221108,0,7,5,4,1,0,0,NA
310949,1,7,4,1,2,1,0,NA
80849,0,5,7,0,2,1,0,NA
91018,1,3,1,0,1,0,0,NA
200950,1,6,2,1,1,0,0,NA
320849,0,6,2,0,2,1,0,NA
320949,1,5,7,4,2,1,0,NA
20736,0,7,4,1,2,1,0,NA
131108,0,5,7,5,1,0,0,NA
220736,0,6,2,1,2,1,0,NA
70849,1,5,3,5,2,1,0,NA
281149,1,7,6,1,2,1,0,NA
70957,0,8,8,3,2,1,0,NA
120949,0,8,2,1,2,1,0,NA
111018,1,5,6,5,1,0,0,NA
110859,0,6,4,2,1,0,0,NA
251456,1,7,5,7,1,0,0,NA
20859,1,7,5,1,1,0,0,NA
71018,1,6,2,3,1,0,0,NA
321149,1,7,3,1,2,1,0,NA
71203,0,6,5,2,1,0,0,NA
230859,0,4,8,0,1,0,0,NA
71037,0,7,1,0,2,1,0,NA
111456,0,7,6,6,1,0,0,NA
50849,0,4,7,4,2,1,0,NA
71149,0,9,2,2,2,1,0,NA
40859,1,4,4,1,1,0,0,NA
10949,0,4,5,7,2,1,0,NA
281456,0,5,7,2,1,0,0,NA
120736,1,6,4,0,2,1,0,NA
21149,0,7,7,1,2,1,0,NA
31203,1,6,3,1,1,0,0,NA
151018,0,7,3,2,1,0,0,NA
180735,1,8,1,8,2,1,0,NA
121149,1,7,2,3,2,1,0,NA
180849,0,5,8,0,2,1,0,NA
271205,1,6,6,1,1,0,0,NA
230957,1,6,3,2,2,1,0,NA
310957,0,6,3,2,2,1,0,NA
110849,1,5,4,6,2,1,0,NA
320859,1,9,4,2,1,0,0,NA
51205,1,6,5,2,1,0,0,NA
260950,1,7,8,1,1,0,0,NA
60957,0,6,6,1,2,1,0,NA
160849,1,7,2,1,2,1,0,NA
151456,1,6,4,1,1,0,0,NA
80736,1,6,1,0,2,1,0,NA
121203,0,5,5,0,1,0,0,NA
40849,1,6,7,0,2,1,0,NA
191203,0,6,7,1,1,0,0,NA
81456,0,9,2,3,1,0,0,NA
250735,1,8,3,1,2,1,0,NA
170859,0,6,5,0,1,0,0,NA
280859,1,9,7,2,1,0,0,NA
41456,1,4,4,5,1,0,0,NA
180957,0,6,7,0,2,1,0,NA
21456,0,8,8,0,1,0,0,NA
270950,0,8,2,1,1,0,0,NA
311018,1,3,7,2,1,0,0,NA
131456,1,3,5,3,1,0,0,NA
280950,0,5,8,1,1,0,0,NA
281018,1,7,2,1,1,0,0,NA
130859,0,6,6,2,1,0,0,NA
261018,0,5,7,1,1,0,0,NA
51149,0,7,5,2,2,1,0,NA
240950,1,4,7,2,1,0,0,NA
201037,1,6,6,5,2,1,0,NA
260849,0,4,7,2,2,1,0,NA
211018,0,7,7,2,1,0,0,NA
141204,0,4,6,2,1,0,0,NA
200735,1,8,3,1,2,1,0,NA
200957,0,5,5,2,2,1,0,NA
201018,1,3,9,0,1,0,0,NA
301205,0,4,2,1,1,0,0,NA
180950,0,7,7,0,1,0,0,NA
141018,0,0,8,3,1,0,0,NA
301037,0,6,6,0,2,1,0,NA
40949,1,5,4,1,2,1,0,NA
131037,1,6,8,0,2,1,0,NA
240949,1,7,4,2,2,1,0,NA
220859,0,6,3,0,1,0,0,NA
40734,1,5,2,7,2,1,0,NA
30849,1,6,3,5,2,1,0,NA
140849,0,9,3,2,2,1,0,NA
11456,1,6,6,8,1,0,0,NA
31018,1,7,1,1,1,0,0,NA
290849,0,6,3,3,2,1,0,NA
100957,0,5,7,6,2,1,0,NA
81204,0,7,5,0,1,0,0,NA
320957,0,5,4,0,2,1,0,NA
181149,1,5,5,2,2,1,0,NA
90950,1,6,3,0,1,0,0,NA
251108,1,6,7,3,1,0,0,NA
201456,1,6,7,6,1,0,0,NA
231108,1,6,3,2,1,0,0,NA
231456,0,5,5,2,1,0,0,NA
271037,1,5,8,0,2,1,0,NA
140950,0,5,6,1,1,0,0,NA
190950,0,6,7,1,1,0,0,NA
81018,0,7,7,2,1,0,0,NA
80957,1,7,2,1,2,1,0,NA
100735,1,8,3,5,2,1,0,NA
31149,0,6,2,1,2,1,0,NA
101149,0,9,2,0,2,1,0,NA
231204,0,4,6,0,1,0,0,NA
121018,1,8,5,2,1,0,0,NA
130849,1,7,8,1,2,1,0,NA
81108,1,7,4,0,1,0,0,NA
71108,0,6,7,4,1,0,0,NA
161018,0,7,6,2,1,0,0,NA
11149,1,7,5,0,2,1,0,NA
110736,1,6,3,1,2,1,0,NA
151037,1,3,5,2,2,1,0,NA
150950,0,4,7,3,1,0,0,NA
230736,1,6,3,0,2,1,0,NA
10736,0,7,7,0,2,1,0,NA
90849,0,4,6,3,2,1,0,NA
240736,0,4,6,1,2,1,0,NA
290957,0,5,7,0,2,1,0,NA
191108,0,6,5,2,1,0,0,NA
241108,1,5,5,8,1,0,0,NA
260957,0,6,8,2,2,1,0,NA
261037,0,3,5,1,2,1,0,NA
31108,1,6,7,1,1,0,0,NA
301149,0,8,4,1,2,1,0,NA
120950,1,6,5,2,1,0,0,NA
261205,0,7,4,0,1,0,0,NA
260949,1,7,5,2,2,1,0,NA
190957,1,6,5,0,2,1,0,NA
210849,1,4,3,2,2,1,0,NA
231149,0,5,6,1,2,1,0,NA
281037,0,6,5,1,2,1,0,NA
150957,1,8,4,1,2,1,0,NA
140957,1,6,3,1,2,1,0,NA
310849,1,6,3,0,2,1,0,NA
100849,1,6,2,1,2,1,0,NA
61149,0,4,2,0,2,1,0,NA
291018,1,9,3,2,1,0,0,NA
31037,0,6,7,0,2,1,0,NA
50957,1,6,5,1,2,1,0,NA
170736,0,3,2,0,2,1,0,NA
170849,0,5,7,2,2,1,0,NA
251018,1,6,4,3,1,0,0,NA
181203,0,6,8,0,1,0,0,NA
50949,1,5,3,9,2,1,0,NA
160735,0,7,3,2,2,1,0,NA
41037,0,8,7,0,2,1,0,NA
70950,0,4,8,3,1,0,0,NA
120859,1,2,6,2,1,0,0,NA
210957,0,6,5,1,2,1,0,NA
190949,1,6,3,1,2,1,0,NA
190849,1,4,4,3,2,1,0,NA
271108,0,6,5,7,1,0,0,NA
21018,1,2,6,2,1,0,0,NA
211149,1,6,6,0,2,1,0,NA
161203,1,3,7,2,1,0,0,NA
100859,1,5,3,6,1,0,0,NA
291456,1,6,6,0,1,0,0,NA
100950,1,7,3,1,1,0,0,NA
141037,1,4,2,2,2,1,0,NA
261108,0,7,4,3,1,0,0,NA
271456,1,8,6,6,1,0,0,NA
291149,1,7,2,0,2,1,0,NA
31456,1,9,5,3,1,0,0,NA
300949,1,6,2,2,2,1,0,NA
260738,1,5,5,6,2,1,0,NA
221456,0,4,7,7,1,0,0,NA
261456,1,7,6,0,1,0,0,NA
171108,1,6,7,10,1,0,0,NA
111108,1,6,6,3,1,0,0,NA
160950,0,5,7,1,1,0,0,NA
61203,1,6,2,0,1,0,0,NA
21037,1,6,5,4,2,1,0,NA
220849,0,3,6,0,2,1,0,NA
110950,1,6,5,0,1,0,0,NA
230949,0,4,8,1,2,1,0,NA
240957,0,7,6,4,2,1,0,NA
171037,0,7,6,0,2,1,0,NA
201203,1,3,3,7,1,0,0,NA
311456,0,7,7,2,1,0,0,NA
10950,1,7,3,0,1,0,0,NA
231018,0,6,10,1,1,0,0,NA
221037,1,7,4,1,2,1,0,NA
231037,0,4,7,0,2,1,0,NA
250957,1,6,5,2,2,1,0,NA
211108,1,7,4,4,1,0,0,NA
281202,1,7,7,5,1,0,0,NA
291037,1,6,4,0,2,1,0,NA
131018,0,7,7,2,1,0,0,NA
151205,0,4,2,6,1,0,0,NA
210859,0,6,6,1,1,0,0,NA
60949,0,5,8,0,2,1,0,NA
290949,0,6,2,1,2,1,0,NA
30957,0,6,7,0,2,1,0,NA
150849,0,6,2,2,2,1,0,NA
70736,1,7,2,2,2,1,0,NA
170957,0,8,1,1,2,1,0,NA
80950,1,8,1,0,1,0,0,NA
70949,1,NA,6,3,2,1,1,5
161456,1,NA,5,1,1,0,1,6
20950,0,NA,8,1,1,0,1,4
181108,0,NA,8,7,1,0,1,10
190859,1,NA,5,3,1,0,1,5
240859,1,NA,1,1,1,0,1,10
130950,1,NA,3,2,1,0,1,3
271018,1,NA,4,2,1,0,1,10
61456,0,NA,3,5,1,0,1,4
80859,1,NA,7,2,1,0,1,6
121108,1,NA,5,5,1,0,1,6
61108,0,NA,6,0,1,0,1,4
291204,1,NA,8,1,1,0,1,4
171018,0,NA,5,8,1,0,1,5
101456,1,NA,5,7,1,0,1,3
301018,0,NA,5,7,1,0,1,4
11204,0,NA,8,1,1,0,1,6
241018,1,NA,2,2,1,0,1,5
161149,1,NA,6,7,2,1,1,5
121456,1,NA,7,4,1,0,1,10
311149,0,NA,6,5,2,1,1,5
151108,0,NA,7,2,1,0,1,6
51456,1,NA,7,2,1,0,1,7
101037,1,NA,4,2,2,1,1,6
141108,1,NA,5,3,1,0,1,5
51018,1,NA,3,2,1,0,1,7
111037,0,NA,6,2,2,1,1,4
41018,1,NA,6,4,1,0,1,5
161108,1,NA,3,6,1,0,1,10
21108,0,NA,6,8,1,0,1,7
30859,0,NA,3,3,1,0,1,5
131149,0,NA,8,8,2,1,1,7
61018,1,NA,6,7,1,0,1,5
321456,1,NA,4,2,1,0,1,10
